omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,smoothness_weight,curvature_weight,fidelity,process_fidelity,no_jump_average_fidelity,active_population,loss_proxy,passed,success,num_iter,alpha,beta
20.0,0.0,190.0,64,360,0.0001,0.0001,0.998980665290328,0.998980665290328,0.9989806827963233,0.9989807528203046,0.0010192471796953706,False,True,185,1.5808733436104747e-12,1.1517761389730667
20.0,10.0,60.0,64,360,0.0001,0.0001,0.8920590025822293,0.8920590025822293,0.8928501927316581,0.8960149533293741,0.10398504667062591,False,True,82,9.855102871877599e-14,2.6683123752483393
20.0,10.0,75.0,64,360,0.0001,0.0001,0.9996501620491561,0.9996501620491561,0.999650167429684,0.9996501889517959,0.00034981104820408504,True,True,285,-2.1788737922776928e-13,2.2200421810577584
20.0,10.0,90.0,64,360,0.0001,0.0001,0.9996092762011849,0.9996092762011849,0.9996092791332283,0.9996092908614017,0.0003907091385982886,True,True,192,-6.787583344301213e-13,1.9469320493975688
20.0,10.0,105.0,64,360,0.0001,0.0001,0.9995417075228574,0.9995417075228574,0.9995417117330614,0.9995417285738777,0.0004582714261223142,True,True,287,3.2710075318101955e-13,1.6053503649425411
20.0,10.0,120.0,64,360,0.0001,0.0001,0.99950057255097,0.99950057255097,0.9995005768203896,0.9995005938980679,0.0004994061019321094,True,True,256,6.3281594788595e-13,1.1653699749182291
20.0,10.0,135.0,64,360,0.0001,0.0001,0.9994819645471095,0.9994819645471095,0.9994819705802659,0.9994819947128911,0.0005180052871088803,True,False,360,1.0163622224519089e-12,0.9568948851148854
20.0,10.0,150.0,64,360,0.0001,0.0001,0.9993764302480523,0.9993764302480523,0.9993764370294043,0.9993764641548123,0.000623535845187706,True,True,92,1.0774755353690376e-12,0.19047693124868711
20.0,10.0,160.0,64,360,0.0001,0.0001,0.9992388432639966,0.9992388432639966,0.999238854196614,0.9992388979270835,0.0007611020729164641,True,True,254,8.020192294725099e-13,-0.5271320679651049
20.0,10.0,170.0,64,360,0.0001,0.0001,0.9991386101906604,0.9991386101906604,0.9991386336741439,0.9991387276080781,0.0008612723919219079,True,False,360,2.66721642307353e-13,-0.647838360616616
20.0,10.0,180.0,64,360,0.0001,0.0001,0.9992615786812431,0.9992615786812431,0.9992616356949291,0.9992618637496733,0.0007381362503267042,True,False,360,-2.28314769485415e-13,-1.214945812784352
20.0,10.0,190.0,64,360,0.0001,0.0001,0.9990736552759478,0.9990736552759478,0.9990736914890597,0.9990738363415069,0.0009261636584930732,True,False,360,1.8002028090651533e-12,-1.282287557127064
20.0,20.0,60.0,64,360,0.0001,0.0001,0.7052659906498233,0.7052659906498233,0.7349799306516729,0.853835690659071,0.14616430934092906,False,True,119,3.3970787894207624e-13,-2.4196861462036883
20.0,20.0,75.0,64,360,0.0001,0.0001,0.9322466877017004,0.9322466877017004,0.9326408220732549,0.9342173595594729,0.06578264044052706,False,True,116,-1.4909014616347644e-14,2.565369998224953
20.0,20.0,90.0,64,360,0.0001,0.0001,0.9996169141112088,0.9996169141112088,0.9996169205768319,0.9996169464393245,0.0003830535606754726,True,True,337,-1.206007864900386e-13,-1.68307192188298
20.0,20.0,105.0,64,360,0.0001,0.0001,0.9995572728522261,0.9995572728522261,0.9995572804008426,0.9995573105953082,0.0004426894046918317,True,False,360,-4.7457458886787256e-14,-1.3273951289704775
20.0,20.0,120.0,64,360,0.0001,0.0001,0.9994726578700752,0.9994726578700752,0.9994726630109453,0.9994726835744252,0.0005273164255747975,True,True,131,1.497042216788523e-14,-0.917679360562356
20.0,20.0,135.0,64,360,0.0001,0.0001,0.9995016633575027,0.9995016633575027,0.9995017161285873,0.9995019272129255,0.0004980727870744772,True,False,360,-4.1663779577305236e-13,1.2183498529824028
20.0,20.0,150.0,64,360,0.0001,0.0001,0.9994647435025953,0.9994647435025953,0.9994647483778897,0.999464767879067,0.0005352321209329824,True,True,166,-3.4328121739345967e-13,0.8792166107548637
20.0,20.0,160.0,64,360,0.0001,0.0001,0.999388204059467,0.999388204059467,0.9993882103659372,0.999388235591818,0.0006117644081820028,True,True,111,-1.4715365087714936e-13,0.2977538929941098
20.0,20.0,170.0,64,360,0.0001,0.0001,0.9992830647260506,0.9992830647260506,0.9992830780906135,0.9992831315488647,0.0007168684511352774,True,True,51,-2.380186219255728e-13,-0.2824733463369885
20.0,20.0,180.0,64,360,0.0001,0.0001,0.99912576923676,0.99912576923676,0.9991257829182316,0.9991258376441187,0.0008741623558813361,True,False,360,-8.547284987043276e-14,-1.6997793240614703
20.0,20.0,190.0,64,360,0.0001,0.0001,0.9991948859199269,0.9991948859199269,0.9991949155390328,0.9991950340154565,0.0008049659845434931,True,False,360,7.23440490326203e-13,1.6424601858263244
20.0,40.0,105.0,64,360,0.0001,0.0001,0.988861198758241,0.988861198758241,0.9889899862071976,0.9895051360030239,0.010494863996976078,False,True,148,5.405830742637913e-15,-2.019085014540578
20.0,40.0,120.0,64,360,0.0001,0.0001,0.9996153997998697,0.9996153997998697,0.9996154104146507,0.9996154528737748,0.0003845471262251543,True,False,360,-6.693104690908758e-13,1.9931686581982897
20.0,40.0,135.0,64,360,0.0001,0.0001,0.9995612841943393,0.9995612841943393,0.9995612930374108,0.9995613284096967,0.0004386715903033078,True,False,360,1.1595942150437645e-12,1.6193192965464385
20.0,40.0,150.0,64,360,0.0001,0.0001,0.9994811793208827,0.9994811793208827,0.9994811840673694,0.9994812030533163,0.0005187969466836639,True,True,213,2.125317293020923e-12,1.1931581520551842
20.0,40.0,160.0,64,360,0.0001,0.0001,0.9994857602370583,0.9994857602370583,0.9994857653633588,0.9994857858685613,0.0005142141314387061,True,True,300,2.8123998875687795e-12,1.0588872876817232
20.0,40.0,170.0,64,360,0.0001,0.0001,0.9994684287611589,0.9994684287611589,0.9994684344138385,0.9994684570245571,0.0005315429754428891,True,True,223,3.1007353807354374e-12,0.8860411963723654
20.0,40.0,180.0,64,360,0.0001,0.0001,0.9994035816341034,0.9994035816341034,0.9994035878987491,0.9994036129573317,0.0005963870426682893,True,True,14,3.0985310888882554e-12,0.494277454856881
20.0,40.0,190.0,64,360,0.0001,0.0001,0.999322337442611,0.999322337442611,0.9993223477208047,0.9993223888335797,0.0006776111664202888,True,True,154,3.1624028480340404e-12,-0.07363326785505873
20.0,80.0,180.0,64,360,0.0001,0.0001,0.999467600884736,0.999467600884736,0.9994676190054204,0.9994676914881582,0.000532308511841828,True,False,360,1.3929991775394126e-13,-1.1820845981893133
20.0,80.0,190.0,64,360,0.0001,0.0001,0.9994062299075619,0.9994062299075619,0.9994062518433667,0.9994063395865862,0.000593660413413799,True,False,360,-9.712704082605411e-14,-0.8025997036249773
