omega_max_mhz,edge_ns,total_time_ns,num_tslots,max_iter,fidelity,process_fidelity,active_population,leakage,cz_phase_error_rad,passed,success,num_iter,alpha,beta
10.0,80.0,300.0,100,240,0.9999999376900197,0.9999999349047686,0.9999999488310245,5.1168975501170166e-08,-0.0004342641546140058,True,False,240,-1.1693903187695536e-12,-2.669163814273378
10.0,80.0,380.0,100,240,0.9999999879310586,0.9999999876309087,0.9999999891316579,1.086834211516674e-08,0.00011074490046469876,True,False,240,-9.708391975058759e-14,-0.8536218387953264
10.0,80.0,420.0,100,240,0.9999999936956462,0.9999999925026506,0.9999999984676284,1.532371562973367e-09,0.00029940094276925677,True,False,240,2.786495653115374e-13,-0.24534680764413852
10.0,80.0,460.0,100,240,0.9999999862547828,0.9999999848900728,0.9999999917136224,8.286377584099114e-09,0.00033039252011191067,True,True,56,1.8248098241542918e-13,-0.3798804083265941
10.0,80.0,500.0,100,240,0.9999999979162922,0.999999997907171,0.9999999979527776,2.0472223916101484e-09,2.1519631367095116e-05,True,True,200,8.91435438250464e-14,-0.7340637438747846
20.0,0.0,30.0,100,240,0.6857164002758449,0.6181608830293387,0.9559384692618693,0.04406153073813068,-2.5459883782060464,False,True,37,-2.4376316295598983e-14,-1.9687628320136008
20.0,0.0,40.0,100,240,0.7985149950982873,0.7776043406755602,0.8821576127891957,0.11784238721080431,-1.3989899621237958,False,True,23,-1.8932311451561446e-14,-2.231939129442228
20.0,0.0,50.0,100,240,0.9267373235228862,0.9258721364093712,0.9301980719769458,0.06980192802305418,0.2586623000371757,False,True,23,-1.846351989969665e-14,2.5539381112480046
20.0,0.0,60.0,100,240,0.9999722101637918,0.999972207087874,0.9999722224674628,2.7777532537243133e-05,0.0004933513390614763,True,True,26,-8.676550613954836e-15,2.388280953469425
20.0,0.0,75.0,100,240,0.9999999886533159,0.9999999883607409,0.9999999898236155,1.0176384512838865e-08,-0.00015250495384222518,True,True,58,-5.284000201518113e-14,2.0327326644861476
20.0,0.0,95.0,100,240,0.999999997906475,0.9999999979013721,0.9999999979268865,2.073113458678222e-09,-8.233920189226751e-06,True,True,226,2.1370649951582298e-13,1.472247237942656
20.0,0.0,120.0,100,240,0.9999999374717898,0.9999999279220912,0.999999975670584,2.432941603736083e-08,0.0008712274647040275,True,False,240,-7.521473018169661e-13,0.9969908500477128
20.0,0.0,150.0,100,240,0.9999999974921805,0.9999999973474212,0.9999999980712178,1.9287822450309022e-09,0.00010749992924763419,True,True,191,1.137401910538684e-13,-1.8360850637207453
20.0,0.0,190.0,100,240,0.9999999829564492,0.9999999796524205,0.9999999961725641,3.827435923753342e-09,0.0004036254732509015,True,False,240,1.277318880410662e-13,-0.5675844289485432
20.0,10.0,40.0,100,240,0.6687804608534644,0.5938081509550853,0.968669700446981,0.031330299553019025,-2.6855076170195593,False,True,207,-2.009787291565421e-13,-1.908709186785187
